cause_of_death,chapter,count,year,sex,cause_of_death_map
Depressive episode,Mental and behavioural disorders,20,2011,Males,
Recurrent depressive disorder,Mental and behavioural disorders,1,2011,Males,
Persistent mood [affective] disorders,Mental and behavioural disorders,0,2011,Males,
Other mood [affective] disorders,Mental and behavioural disorders,0,2011,Males,
Unspecified mood [affective] disorder,Mental and behavioural disorders,0,2011,Males,
"Neurotic, stress-related and somatoform disorders",Mental and behavioural disorders,4,2011,Males,
Phobic anxiety disorders,Mental and behavioural disorders,0,2011,Males,
Other anxiety disorders,Mental and behavioural disorders,1,2011,Males,
Obsessive-compulsive disorder,Mental and behavioural disorders,0,2011,Males,
"Reaction to severe stress, and adjustment disorders",Mental and behavioural disorders,2,2011,Males,
Dissociative [conversion] disorders,Mental and behavioural disorders,1,2011,Males,
Somatoform disorders,Mental and behavioural disorders,0,2011,Males,
Other neurotic disorders,Mental and behavioural disorders,0,2011,Males,
Behavioural syndromes associated with physiological disturbances and physical factors,Mental and behavioural disorders,3,2011,Males,
Eating disorders,Mental and behavioural disorders,3,2011,Males,
Nonorganic sleep disorders,Mental and behavioural disorders,0,2011,Males,
"Sexual dysfunction, not caused by organic disorder or disease",Mental and behavioural disorders,0,2011,Males,
"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",Mental and behavioural disorders,0,2011,Males,
Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Mental and behavioural disorders,0,2011,Males,
Abuse of non-dependence-producing substances,Mental and behavioural disorders,0,2011,Males,
Unspecified behavioural syndromes associated with physiological disturbances and physical factors,Mental and behavioural disorders,0,2011,Males,
Disorders of adult personality and behaviour,Mental and behavioural disorders,0,2011,Males,
Specific personality disorders,Mental and behavioural disorders,0,2011,Males,
Mixed and other personality disorders,Mental and behavioural disorders,0,2011,Males,
"Enduring personality changes, not attributable to brain damage and disease",Mental and behavioural disorders,0,2011,Males,
Habit and impulse disorders,Mental and behavioural disorders,0,2011,Males,
Gender identity disorders,Mental and behavioural disorders,0,2011,Males,
Disorders of sexual preference,Mental and behavioural disorders,0,2011,Males,
Psychological and behavioural disorders associated with sexual development and orientation,Mental and behavioural disorders,0,2011,Males,
Other disorders of adult personality and behaviour,Mental and behavioural disorders,0,2011,Males,
Unspecified disorder of adult personality and behaviour,Mental and behavioural disorders,0,2011,Males,
Mental retardation,Mental and behavioural disorders,9,2011,Males,
Mild mental retardation,Mental and behavioural disorders,0,2011,Males,
Moderate mental retardation,Mental and behavioural disorders,0,2011,Males,
Severe mental retardation,Mental and behavioural disorders,0,2011,Males,
Profound mental retardation,Mental and behavioural disorders,0,2011,Males,
Other mental retardation,Mental and behavioural disorders,0,2011,Males,
Unspecified mental retardation,Mental and behavioural disorders,9,2011,Males,
Disorders of psychological development,Mental and behavioural disorders,0,2011,Males,
Specific developmental disorders of speech and language,Mental and behavioural disorders,0,2011,Males,
Specific developmental disorders of scholastic skills,Mental and behavioural disorders,0,2011,Males,
Specific developmental disorder of motor function,Mental and behavioural disorders,0,2011,Males,
Mixed specific developmental disorders,Mental and behavioural disorders,0,2011,Males,
Pervasive developmental disorders,Mental and behavioural disorders,0,2011,Males,
Other disorders of psychological development,Mental and behavioural disorders,0,2011,Males,
Unspecified disorder of psychological development,Mental and behavioural disorders,0,2011,Males,
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Mental and behavioural disorders,1,2011,Males,
Hyperkinetic disorders,Mental and behavioural disorders,0,2011,Males,
Conduct disorders,Mental and behavioural disorders,1,2011,Males,
Mixed disorders of conduct and emotions,Mental and behavioural disorders,0,2011,Males,
Emotional disorders with onset specific to childhood,Mental and behavioural disorders,0,2011,Males,
Disorders of social functioning with onset specific to childhood and adolescence,Mental and behavioural disorders,0,2011,Males,
Tic disorders,Mental and behavioural disorders,0,2011,Males,
Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Mental and behavioural disorders,0,2011,Males,
Unspecified mental disorder,Mental and behavioural disorders,1,2011,Males,
"Mental disorder, not otherwise specified",Mental and behavioural disorders,1,2011,Males,
Inflammatory diseases of the central nervous system,Diseases of the nervous system,42,2011,Males,
"Bacterial meningitis, not elsewhere classified",Diseases of the nervous system,6,2011,Males,
Meningitis due to other and unspecified causes,Diseases of the nervous system,6,2011,Males,
"Encephalitis, myelitis and encephalomyelitis",Diseases of the nervous system,14,2011,Males,
Intracranial and intraspinal abscess and granuloma,Diseases of the nervous system,10,2011,Males,
Intracranial and intraspinal phlebitis and thrombophlebitis,Diseases of the nervous system,1,2011,Males,
Sequelae of inflammatory diseases of central nervous system,Diseases of the nervous system,5,2011,Males,
Systemic atrophies primarily affecting the central nervous system,Diseases of the nervous system,447,2011,Males,
Huntington disease,Diseases of the nervous system,40,2011,Males,
Hereditary ataxia,Diseases of the nervous system,12,2011,Males,
Spinal muscular atrophy and related syndromes,Diseases of the nervous system,395,2011,Males,
Postpolio syndrome,Diseases of the nervous system,0,2011,Males,
Extrapyramidal and movement disorders,Diseases of the nervous system,819,2011,Males,
Parkinson disease,Diseases of the nervous system,801,2011,Males,
Secondary parkinsonism,Diseases of the nervous system,5,2011,Males,
Other degenerative diseases of basal ganglia,Diseases of the nervous system,10,2011,Males,
Dystonia,Diseases of the nervous system,2,2011,Males,
Other extrapyramidal and movement disorders,Diseases of the nervous system,1,2011,Males,
Other degenerative diseases of the nervous system,Diseases of the nervous system,1088,2011,Males,
Alzheimer disease,Diseases of the nervous system,938,2011,Males,
"Other degenerative diseases of nervous system, not elsewhere classified",Diseases of the nervous system,150,2011,Males,
Demyelinating diseases of the central nervous system,Diseases of the nervous system,56,2011,Males,
Multiple sclerosis,Diseases of the nervous system,49,2011,Males,
Other acute disseminated demyelination,Diseases of the nervous system,0,2011,Males,
Other demyelinating diseases of central nervous system,Diseases of the nervous system,7,2011,Males,
Episodic and paroxysmal disorders,Diseases of the nervous system,210,2011,Males,
Epilepsy,Diseases of the nervous system,166,2011,Males,
Status epilepticus,Diseases of the nervous system,8,2011,Males,
Migraine,Diseases of the nervous system,0,2011,Males,
Other headache syndromes,Diseases of the nervous system,0,2011,Males,
Transient cerebral ischaemic attacks and related syndromes,Diseases of the nervous system,18,2011,Males,
Sleep disorders,Diseases of the nervous system,18,2011,Males,
"Nerve, nerve root and plexus disorders",Diseases of the nervous system,4,2011,Males,
Disorders of trigeminal nerve,Diseases of the nervous system,0,2011,Males,
Facial nerve disorders,Diseases of the nervous system,1,2011,Males,
Disorders of other cranial nerves,Diseases of the nervous system,1,2011,Males,
Nerve root and plexus disorders,Diseases of the nervous system,0,2011,Males,
Mononeuropathies of upper limb,Diseases of the nervous system,0,2011,Males,
Mononeuropathies of lower limb,Diseases of the nervous system,0,2011,Males,
Other mononeuropathies,Diseases of the nervous system,2,2011,Males,
Polyneuropathies and other disorders of the peripheral nervous system,Diseases of the nervous system,22,2011,Males,
Hereditary and idiopathic neuropathy,Diseases of the nervous system,3,2011,Males,
Inflammatory polyneuropathy,Diseases of the nervous system,7,2011,Males,
Other polyneuropathies,Diseases of the nervous system,12,2011,Males,
Other disorders of peripheral nervous system,Diseases of the nervous system,0,2011,Males,
Diseases of myoneural junction and muscle,Diseases of the nervous system,90,2011,Males,
Myasthenia gravis and other myoneural disorders,Diseases of the nervous system,16,2011,Males,
Primary disorders of muscles,Diseases of the nervous system,58,2011,Males,
Other myopathies,Diseases of the nervous system,16,2011,Males,
Cerebral palsy and other paralytic syndromes,Diseases of the nervous system,102,2011,Males,
Cerebral palsy,Diseases of the nervous system,50,2011,Males,
Hemiplegia,Diseases of the nervous system,8,2011,Males,
Paraplegia and tetraplegia,Diseases of the nervous system,43,2011,Males,
Other paralytic syndromes,Diseases of the nervous system,1,2011,Males,
Other disorders of the nervous system,Diseases of the nervous system,166,2011,Males,
Disorders of autonomic nervous system,Diseases of the nervous system,38,2011,Males,
Hydrocephalus,Diseases of the nervous system,23,2011,Males,
Toxic encephalopathy,Diseases of the nervous system,0,2011,Males,
Other disorders of brain,Diseases of the nervous system,93,2011,Males,
Other diseases of spinal cord,Diseases of the nervous system,10,2011,Males,
Other disorders of central nervous system,Diseases of the nervous system,2,2011,Males,
"Postprocedural disorders of nervous system, not elsewhere classified",Diseases of the nervous system,0,2011,Males,
"Other disorders of nervous system, not elsewhere classified",Diseases of the nervous system,0,2011,Males,
"Disorders of eyelid, lacrimal system and orbit",Diseases of the eye and adnexa,0,2011,Males,
Hordeolum and chalazion,Diseases of the eye and adnexa,0,2011,Males,
Other inflammation of eyelid,Diseases of the eye and adnexa,0,2011,Males,
Other disorders of eyelid,Diseases of the eye and adnexa,0,2011,Males,
Disorders of lacrimal system,Diseases of the eye and adnexa,0,2011,Males,
Disorders of orbit,Diseases of the eye and adnexa,0,2011,Males,
Disorders of conjunctiva,Diseases of the eye and adnexa,0,2011,Males,
Conjunctivitis,Diseases of the eye and adnexa,0,2011,Males,
Other disorders of conjunctiva,Diseases of the eye and adnexa,0,2011,Males,
"Disorders of sclera, cornea, iris and ciliary body",Diseases of the eye and adnexa,0,2011,Males,
Disorders of sclera,Diseases of the eye and adnexa,0,2011,Males,
Keratitis,Diseases of the eye and adnexa,0,2011,Males,
Corneal scars and opacities,Diseases of the eye and adnexa,0,2011,Males,
Other disorders of cornea,Diseases of the eye and adnexa,0,2011,Males,
Iridocyclitis,Diseases of the eye and adnexa,0,2011,Males,
Other disorders of iris and ciliary body,Diseases of the eye and adnexa,0,2011,Males,
Disorders of lens,Diseases of the eye and adnexa,0,2011,Males,
Senile cataract,Diseases of the eye and adnexa,0,2011,Males,
Other cataract,Diseases of the eye and adnexa,0,2011,Males,
Other disorders of lens,Diseases of the eye and adnexa,0,2011,Males,
Disorders of choroid and retina,Diseases of the eye and adnexa,0,2011,Males,
Chorioretinal inflammation,Diseases of the eye and adnexa,0,2011,Males,
Other disorders of choroid,Diseases of the eye and adnexa,0,2011,Males,
Retinal detachments and breaks,Diseases of the eye and adnexa,0,2011,Males,
Retinal vascular occlusions,Diseases of the eye and adnexa,0,2011,Males,
Other retinal disorders,Diseases of the eye and adnexa,0,2011,Males,
Glaucoma,Diseases of the eye and adnexa,0,2011,Males,
Glaucoma,Diseases of the eye and adnexa,0,2011,Males,
Disorders of vitreous body and globe,Diseases of the eye and adnexa,0,2011,Males,
Disorders of vitreous body,Diseases of the eye and adnexa,0,2011,Males,
Disorders of globe,Diseases of the eye and adnexa,0,2011,Males,
Disorders of optic nerve and visual pathways,Diseases of the eye and adnexa,0,2011,Males,
Optic neuritis,Diseases of the eye and adnexa,0,2011,Males,
Other disorders of optic [2nd] nerve and visual pathways,Diseases of the eye and adnexa,0,2011,Males,
"Disorders of ocular muscles, binocular movement, accommodation and refraction",Diseases of the eye and adnexa,0,2011,Males,
Paralytic strabismus,Diseases of the eye and adnexa,0,2011,Males,
Other strabismus,Diseases of the eye and adnexa,0,2011,Males,
Other disorders of binocular movement,Diseases of the eye and adnexa,0,2011,Males,
Disorders of refraction and accommodation,Diseases of the eye and adnexa,0,2011,Males,
Visual disturbances and blindness,Diseases of the eye and adnexa,1,2011,Males,
Visual disturbances,Diseases of the eye and adnexa,0,2011,Males,
Visual impairment including blindness (binocular or monocular),Diseases of the eye and adnexa,1,2011,Males,
Other disorders of eye and adnexa,Diseases of the eye and adnexa,0,2011,Males,
Nystagmus and other irregular eye movements,Diseases of the eye and adnexa,0,2011,Males,
Other disorders of eye and adnexa,Diseases of the eye and adnexa,0,2011,Males,
"Postprocedural disorders of eye and adnexa, not elsewhere classified",Diseases of the eye and adnexa,0,2011,Males,
Diseases of external ear,Diseases of the ear and mastoid process,3,2011,Males,
Otitis externa,Diseases of the ear and mastoid process,3,2011,Males,
Other disorders of external ear,Diseases of the ear and mastoid process,0,2011,Males,
Diseases of middle ear and mastoid,Diseases of the ear and mastoid process,3,2011,Males,
Nonsuppurative otitis media,Diseases of the ear and mastoid process,0,2011,Males,
Suppurative and unspecified otitis media,Diseases of the ear and mastoid process,1,2011,Males,
Eustachian salpingitis and obstruction,Diseases of the ear and mastoid process,0,2011,Males,
Other disorders of Eustachian tube,Diseases of the ear and mastoid process,0,2011,Males,
Mastoiditis and related conditions,Diseases of the ear and mastoid process,1,2011,Males,
Cholesteatoma of middle ear,Diseases of the ear and mastoid process,1,2011,Males,
Perforation of tympanic membrane,Diseases of the ear and mastoid process,0,2011,Males,
Other disorders of tympanic membrane,Diseases of the ear and mastoid process,0,2011,Males,
Other disorders of middle ear and mastoid,Diseases of the ear and mastoid process,0,2011,Males,
Diseases of inner ear,Diseases of the ear and mastoid process,0,2011,Males,
Otosclerosis,Diseases of the ear and mastoid process,0,2011,Males,
Disorders of vestibular function,Diseases of the ear and mastoid process,0,2011,Males,
Other diseases of inner ear,Diseases of the ear and mastoid process,0,2011,Males,
Other disorders of ear,Diseases of the ear and mastoid process,1,2011,Males,
Conductive and sensorineural hearing loss,Diseases of the ear and mastoid process,0,2011,Males,
Other hearing loss,Diseases of the ear and mastoid process,0,2011,Males,
Otalgia and effusion of ear,Diseases of the ear and mastoid process,0,2011,Males,
"Other disorders of ear, not elsewhere classified",Diseases of the ear and mastoid process,1,2011,Males,
"Postprocedural disorders of ear and mastoid process, not elsewhere classified",Diseases of the ear and mastoid process,0,2011,Males,
Acute rheumatic fever,Diseases of the circulatory system,0,2011,Males,
Rheumatic fever without mention of heart involvement,Diseases of the circulatory system,0,2011,Males,
Rheumatic fever with heart involvement,Diseases of the circulatory system,0,2011,Males,
Rheumatic chorea,Diseases of the circulatory system,0,2011,Males,
Chronic rheumatic heart diseases,Diseases of the circulatory system,126,2011,Males,
Rheumatic mitral valve diseases,Diseases of the circulatory system,55,2011,Males,
Rheumatic aortic valve diseases,Diseases of the circulatory system,4,2011,Males,
Rheumatic tricuspid valve diseases,Diseases of the circulatory system,19,2011,Males,
Multiple valve diseases,Diseases of the circulatory system,33,2011,Males,
Other rheumatic heart diseases,Diseases of the circulatory system,15,2011,Males,
Hypertensive diseases,Diseases of the circulatory system,602,2011,Males,
Essential (primary) hypertension,Diseases of the circulatory system,154,2011,Males,
Hypertensive heart disease,Diseases of the circulatory system,235,2011,Males,
Hypertensive renal disease,Diseases of the circulatory system,182,2011,Males,
Hypertensive heart and renal disease,Diseases of the circulatory system,31,2011,Males,
Secondary hypertension,Diseases of the circulatory system,0,2011,Males,
Ischaemic heart diseases,Diseases of the circulatory system,11741,2011,Males,
Angina pectoris,Diseases of the circulatory system,9,2011,Males,
Acute myocardial infarction,Diseases of the circulatory system,5028,2011,Males,
Subsequent myocardial infarction,Diseases of the circulatory system,6,2011,Males,
Certain current complications following acute myocardial infarction,Diseases of the circulatory system,0,2011,Males,
Other acute ischaemic heart diseases,Diseases of the circulatory system,91,2011,Males,
Chronic ischaemic heart disease,Diseases of the circulatory system,6607,2011,Males,
Pulmonary heart disease and diseases of pulmonary circulation,Diseases of the circulatory system,254,2011,Males,
Pulmonary embolism,Diseases of the circulatory system,132,2011,Males,
Other pulmonary heart diseases,Diseases of the circulatory system,121,2011,Males,
Other diseases of pulmonary vessels,Diseases of the circulatory system,1,2011,Males,
Other forms of heart disease,Diseases of the circulatory system,3533,2011,Males,
Acute pericarditis,Diseases of the circulatory system,2,2011,Males,
Other diseases of pericardium,Diseases of the circulatory system,27,2011,Males,
Acute and subacute endocarditis,Diseases of the circulatory system,63,2011,Males,
Nonrheumatic mitral valve disorders,Diseases of the circulatory system,73,2011,Males,
Nonrheumatic aortic valve disorders,Diseases of the circulatory system,477,2011,Males,
Nonrheumatic tricuspid valve disorders,Diseases of the circulatory system,0,2011,Males,
Pulmonary valve disorders,Diseases of the circulatory system,1,2011,Males,
"Endocarditis, valve unspecified",Diseases of the circulatory system,103,2011,Males,
Acute myocarditis,Diseases of the circulatory system,12,2011,Males,
Cardiomyopathy,Diseases of the circulatory system,605,2011,Males,
Atrioventricular and left bundle-branch block,Diseases of the circulatory system,19,2011,Males,
Other conduction disorders,Diseases of the circulatory system,8,2011,Males,
Cardiac arrest,Diseases of the circulatory system,85,2011,Males,
Paroxysmal tachycardia,Diseases of the circulatory system,9,2011,Males,
Atrial fibrillation and flutter,Diseases of the circulatory system,510,2011,Males,
Other cardiac arrhythmias,Diseases of the circulatory system,76,2011,Males,
Heart failure,Diseases of the circulatory system,1183,2011,Males,
Complications and ill-defined descriptions of heart disease,Diseases of the circulatory system,280,2011,Males,
Cerebrovascular diseases,Diseases of the circulatory system,4424,2011,Males,
Subarachnoid haemorrhage,Diseases of the circulatory system,194,2011,Males,
Intracerebral haemorrhage,Diseases of the circulatory system,585,2011,Males,
Other nontraumatic intracranial haemorrhage,Diseases of the circulatory system,307,2011,Males,
Cerebral infarction,Diseases of the circulatory system,419,2011,Males,
"Stroke, not specified as haemorrhage or infarction",Diseases of the circulatory system,1948,2011,Males,
"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",Diseases of the circulatory system,0,2011,Males,
"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",Diseases of the circulatory system,0,2011,Males,
Other cerebrovascular diseases,Diseases of the circulatory system,253,2011,Males,
Sequelae of cerebrovascular disease,Diseases of the circulatory system,718,2011,Males,
"Diseases of arteries, arterioles and capillaries",Diseases of the circulatory system,1068,2011,Males,
Atherosclerosis,Diseases of the circulatory system,54,2011,Males,
Aortic aneurysm and dissection,Diseases of the circulatory system,670,2011,Males,
Other aneurysm and dissection,Diseases of the circulatory system,31,2011,Males,
Other peripheral vascular diseases,Diseases of the circulatory system,258,2011,Males,
Arterial embolism and thrombosis,Diseases of the circulatory system,18,2011,Males,
Other disorders of arteries and arterioles,Diseases of the circulatory system,34,2011,Males,
Diseases of capillaries,Diseases of the circulatory system,3,2011,Males,
"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Diseases of the circulatory system,122,2011,Males,
Phlebitis and thrombophlebitis,Diseases of the circulatory system,95,2011,Males,
Portal vein thrombosis,Diseases of the circulatory system,7,2011,Males,
Other venous embolism and thrombosis,Diseases of the circulatory system,4,2011,Males,
Varicose veins of lower extremities,Diseases of the circulatory system,8,2011,Males,
Haemorrhoids,Diseases of the circulatory system,2,2011,Males,
Oesophageal varices,Diseases of the circulatory system,3,2011,Males,
Varicose veins of other sites,Diseases of the circulatory system,0,2011,Males,
Other disorders of veins,Diseases of the circulatory system,0,2011,Males,
Nonspecific lymphadenitis,Diseases of the circulatory system,0,2011,Males,
Other noninfective disorders of lymphatic vessels and lymph nodes,Diseases of the circulatory system,3,2011,Males,
Other and unspecified disorders of the circulatory system,Diseases of the circulatory system,9,2011,Males,
Hypotension,Diseases of the circulatory system,4,2011,Males,
"Postprocedural disorders of circulatory system, not elsewhere classified",Diseases of the circulatory system,0,2011,Males,
Other and unspecified disorders of circulatory system,Diseases of the circulatory system,5,2011,Males,
Acute upper respiratory infections,Diseases of the respiratory system,3,2011,Males,
Acute nasopharyngitis [common cold],Diseases of the respiratory system,0,2011,Males,
Acute sinusitis,Diseases of the respiratory system,0,2011,Males,
Acute pharyngitis,Diseases of the respiratory system,1,2011,Males,
Acute tonsillitis,Diseases of the respiratory system,0,2011,Males,
Acute laryngitis and tracheitis,Diseases of the respiratory system,1,2011,Males,
Acute obstructive laryngitis [croup] and epiglottitis,Diseases of the respiratory system,1,2011,Males,
Acute upper respiratory infections of multiple and unspecified sites,Diseases of the respiratory system,0,2011,Males,
Influenza and pneumonia,Diseases of the respiratory system,1133,2011,Males,
Influenza due to certain identified influenza virus,Diseases of the respiratory system,13,2011,Males,
Influenza due to other identified influenza virus,Diseases of the respiratory system,6,2011,Males,
"Influenza, virus not identified",Diseases of the respiratory system,11,2011,Males,
"Viral pneumonia, not elsewhere classified",Diseases of the respiratory system,7,2011,Males,
Pneumonia due to Streptococcus pneumoniae,Diseases of the respiratory system,11,2011,Males,
Pneumonia due to Haemophilus influenzae,Diseases of the respiratory system,1,2011,Males,
"Bacterial pneumonia, not elsewhere classified",Diseases of the respiratory system,34,2011,Males,
"Pneumonia due to other infectious organisms, not elsewhere classified",Diseases of the respiratory system,1,2011,Males,
"Pneumonia, organism unspecified",Diseases of the respiratory system,1049,2011,Males,
Other acute lower respiratory infections,Diseases of the respiratory system,43,2011,Males,
Acute bronchitis,Diseases of the respiratory system,5,2011,Males,
Acute bronchiolitis,Diseases of the respiratory system,1,2011,Males,
Unspecified acute lower respiratory infection,Diseases of the respiratory system,37,2011,Males,
Other diseases of upper respiratory tract,Diseases of the respiratory system,19,2011,Males,
Vasomotor and allergic rhinitis,Diseases of the respiratory system,0,2011,Males,
"Chronic rhinitis, nasopharyngitis and pharyngitis",Diseases of the respiratory system,0,2011,Males,
Chronic sinusitis,Diseases of the respiratory system,1,2011,Males,
Nasal polyp,Diseases of the respiratory system,0,2011,Males,
Other disorders of nose and nasal sinuses,Diseases of the respiratory system,0,2011,Males,
Chronic diseases of tonsils and adenoids,Diseases of the respiratory system,0,2011,Males,
Peritonsillar abscess,Diseases of the respiratory system,1,2011,Males,
Chronic laryngitis and laryngotracheitis,Diseases of the respiratory system,0,2011,Males,
"Diseases of vocal cords and larynx, not elsewhere classified",Diseases of the respiratory system,8,2011,Males,
Other diseases of upper respiratory tract,Diseases of the respiratory system,9,2011,Males,
Chronic lower respiratory diseases,Diseases of the respiratory system,3480,2011,Males,
"Bronchitis, not specified as acute or chronic",Diseases of the respiratory system,13,2011,Males,
Simple and mucopurulent chronic bronchitis,Diseases of the respiratory system,0,2011,Males,
Unspecified chronic bronchitis,Diseases of the respiratory system,10,2011,Males,
Emphysema,Diseases of the respiratory system,357,2011,Males,
Other chronic obstructive pulmonary disease,Diseases of the respiratory system,2895,2011,Males,
Asthma,Diseases of the respiratory system,113,2011,Males,
Status asthmaticus,Diseases of the respiratory system,2,2011,Males,
Bronchiectasis,Diseases of the respiratory system,90,2011,Males,
Lung diseases due to external agents,Diseases of the respiratory system,897,2011,Males,
Coalworker's pneumoconiosis,Diseases of the respiratory system,2,2011,Males,
Pneumoconiosis due to asbestos and other mineral fibres,Diseases of the respiratory system,121,2011,Males,
Pneumoconiosis due to dust containing silica,Diseases of the respiratory system,9,2011,Males,
Pneumoconiosis due to other inorganic dusts,Diseases of the respiratory system,1,2011,Males,
Unspecified pneumoconiosis,Diseases of the respiratory system,0,2011,Males,
Pneumoconiosis associated with tuberculosis,Diseases of the respiratory system,0,2011,Males,
Airway disease due to specific organic dust,Diseases of the respiratory system,0,2011,Males,
Hypersensitivity pneumonitis due to organic dust,Diseases of the respiratory system,3,2011,Males,
"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",Diseases of the respiratory system,2,2011,Males,
Pneumonitis due to solids and liquids,Diseases of the respiratory system,756,2011,Males,
Respiratory conditions due to other external agents,Diseases of the respiratory system,3,2011,Males,
Other respiratory diseases principally affecting the interstitium,Diseases of the respiratory system,624,2011,Males,
Adult respiratory distress syndrome,Diseases of the respiratory system,9,2011,Males,
Pulmonary oedema,Diseases of the respiratory system,17,2011,Males,
"Pulmonary eosinophilia, not elsewhere classified",Diseases of the respiratory system,3,2011,Males,
Other interstitial pulmonary diseases,Diseases of the respiratory system,595,2011,Males,
Suppurative and necrotic conditions of lower respiratory tract,Diseases of the respiratory system,25,2011,Males,
Abscess of lung and mediastinum,Diseases of the respiratory system,7,2011,Males,
Pyothorax,Diseases of the respiratory system,18,2011,Males,
Other diseases of pleura,Diseases of the respiratory system,43,2011,Males,
"Pleural effusion, not elsewhere classified",Diseases of the respiratory system,32,2011,Males,
Pleural plaque,Diseases of the respiratory system,3,2011,Males,
Pneumothorax,Diseases of the respiratory system,5,2011,Males,
Other pleural conditions,Diseases of the respiratory system,3,2011,Males,
Other diseases of the respiratory system,Diseases of the respiratory system,286,2011,Males,
"Postprocedural respiratory disorders, not elsewhere classified",Diseases of the respiratory system,0,2011,Males,
"Respiratory failure, not elsewhere classified",Diseases of the respiratory system,22,2011,Males,
Other respiratory disorders,Diseases of the respiratory system,264,2011,Males,
"Diseases of oral cavity, salivary glands and jaws",Diseases of the digestive system,9,2011,Males,
Disorders of tooth development and eruption,Diseases of the digestive system,0,2011,Males,
Embedded and impacted teeth,Diseases of the digestive system,0,2011,Males,
Dental caries,Diseases of the digestive system,0,2011,Males,
Other diseases of hard tissues of teeth,Diseases of the digestive system,0,2011,Males,
Diseases of pulp and periapical tissues,Diseases of the digestive system,3,2011,Males,
Gingivitis and periodontal diseases,Diseases of the digestive system,0,2011,Males,
Other disorders of gingiva and edentulous alveolar ridge,Diseases of the digestive system,0,2011,Males,
Dentofacial anomalies [including malocclusion],Diseases of the digestive system,0,2011,Males,
Other disorders of teeth and supporting structures,Diseases of the digestive system,2,2011,Males,
"Cysts of oral region, not elsewhere classified",Diseases of the digestive system,0,2011,Males,
Other diseases of jaws,Diseases of the digestive system,0,2011,Males,
Diseases of salivary glands,Diseases of the digestive system,3,2011,Males,
Stomatitis and related lesions,Diseases of the digestive system,1,2011,Males,
Other diseases of lip and oral mucosa,Diseases of the digestive system,0,2011,Males,
Diseases of tongue,Diseases of the digestive system,0,2011,Males,
"Diseases of oesophagus, stomach and duodenum",Diseases of the digestive system,247,2011,Males,
Oesophagitis,Diseases of the digestive system,8,2011,Males,
Gastro-oesophageal reflux disease,Diseases of the digestive system,22,2011,Males,
Other diseases of oesophagus,Diseases of the digestive system,68,2011,Males,
Gastric ulcer,Diseases of the digestive system,24,2011,Males,
Duodenal ulcer,Diseases of the digestive system,73,2011,Males,
"Peptic ulcer, site unspecified",Diseases of the digestive system,32,2011,Males,
Gastrojejunal ulcer,Diseases of the digestive system,2,2011,Males,
Gastritis and duodenitis,Diseases of the digestive system,8,2011,Males,
Dyspepsia,Diseases of the digestive system,0,2011,Males,
Other diseases of stomach and duodenum,Diseases of the digestive system,10,2011,Males,
Diseases of appendix,Diseases of the digestive system,13,2011,Males,
Acute appendicitis,Diseases of the digestive system,11,2011,Males,
Other appendicitis,Diseases of the digestive system,0,2011,Males,
Unspecified appendicitis,Diseases of the digestive system,2,2011,Males,
Other diseases of appendix,Diseases of the digestive system,0,2011,Males,
Hernia,Diseases of the digestive system,64,2011,Males,
Inguinal hernia,Diseases of the digestive system,24,2011,Males,
Femoral hernia,Diseases of the digestive system,1,2011,Males,
Umbilical hernia,Diseases of the digestive system,10,2011,Males,
Ventral hernia,Diseases of the digestive system,5,2011,Males,
Diaphragmatic hernia,Diseases of the digestive system,11,2011,Males,
Other abdominal hernia,Diseases of the digestive system,0,2011,Males,
Unspecified abdominal hernia,Diseases of the digestive system,13,2011,Males,
Noninfective enteritis and colitis,Diseases of the digestive system,101,2011,Males,
Crohn disease [regional enteritis],Diseases of the digestive system,11,2011,Males,
Ulcerative colitis,Diseases of the digestive system,18,2011,Males,
Other noninfective gastroenteritis and colitis,Diseases of the digestive system,72,2011,Males,
Other diseases of intestines,Diseases of the digestive system,600,2011,Males,
Vascular disorders of intestine,Diseases of the digestive system,194,2011,Males,
Paralytic ileus and intestinal obstruction without hernia,Diseases of the digestive system,233,2011,Males,
Diverticular disease of intestine,Diseases of the digestive system,84,2011,Males,
Irritable bowel syndrome,Diseases of the digestive system,1,2011,Males,
Other functional intestinal disorders,Diseases of the digestive system,12,2011,Males,
Fissure and fistula of anal and rectal regions,Diseases of the digestive system,1,2011,Males,
Abscess of anal and rectal regions,Diseases of the digestive system,5,2011,Males,
Other diseases of anus and rectum,Diseases of the digestive system,17,2011,Males,
Other diseases of intestine,Diseases of the digestive system,53,2011,Males,
Haemorrhoids and perianal venous thrombosis,Diseases of the digestive system,0,2011,Males,
Diseases of peritoneum,Diseases of the digestive system,49,2011,Males,
Peritonitis,Diseases of the digestive system,40,2011,Males,
Other disorders of peritoneum,Diseases of the digestive system,9,2011,Males,
Diseases of liver,Diseases of the digestive system,1087,2011,Males,
