cause_of_death,chapter,category,2008_Males,2008_Females,2008_Persons,2009_Males,2009_Females,2009_Persons,2010_Males,2010_Females,2010_Persons,2011_Males,2011_Females,2011_Persons,2012_Males,2012_Females,2012_Persons,2013_Males,2013_Females,2013_Persons,2014_Males,2014_Females,2014_Persons,2015_Males,2015_Females,2015_Persons,2016_Males,2016_Females,2016_Persons,2017_Males,2017_Females,2017_Persons
Ascorbic acid deficiency,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin D deficiency,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other vitamin deficiencies,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Dietary calcium deficiency,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dietary selenium deficiency,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dietary zinc deficiency,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deficiency of other nutrient elements,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,1,2,3,1,1,2,0,2,2,0,1,1,0,1,1,2,0,2,2,1,3,2,2,4,2,4,6,0,2,2
Other nutritional deficiencies,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,1,6,7,4,6,10,8,7,15,2,7,9,2,6,8,1,1,2,0,1,1,1,2,3,0,3,3,0,1,1
Sequelae of malnutrition and other nutritional deficiencies,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity and other hyperalimentation,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,82,104,186,112,106,218,112,109,221,127,155,282,123,98,221,125,118,243,162,121,283,187,181,368,197,156,353,165,173,338
Localized adiposity,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,82,104,186,112,106,218,112,109,221,127,155,282,123,98,221,125,118,243,162,121,283,187,181,368,197,156,353,165,173,338
Other hyperalimentation,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sequelae of hyperalimentation,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metabolic disorders,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,598,657,"1,255",561,635,"1,196",602,631,"1,233",600,698,"1,298",599,726,"1,325",594,653,"1,247",622,633,"1,255",641,657,"1,298",621,685,"1,306",640,694,"1,334"
Disorders of aromatic amino-acid metabolism,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,3,1,4,0,0,0,4,2,6,7,1,8,1,0,1,2,1,3,1,1,2,1,1,2,0,1,1,3,0,3
Other disorders of amino-acid metabolism,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,3,0,3,4,4,8,2,1,3,2,4,6,7,2,9,4,5,9,3,3,6,2,1,3,3,4,7,4,2,6
Lactose intolerance,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of carbohydrate metabolism,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,2,7,9,1,2,3,0,3,3,5,1,6,4,1,5,4,2,6,3,1,4,2,5,7,4,0,4,2,0,2
Disorders of sphingolipid metabolism and other lipid storage disorders,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,10,10,20,8,8,16,3,4,7,10,3,13,7,10,17,9,7,16,13,14,27,11,11,22,9,3,12,10,8,18
Disorders of glycosaminoglycan metabolism,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,6,2,8,1,2,3,6,0,6,2,1,3,4,0,4,1,3,4,5,1,6,2,1,3,0,4,4,7,1,8
Disorders of glycoprotein metabolism,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,1,1,2,2,3,5,1,4,5,0,3,3,1,0,1,2,1,3,1,4,5,0,1,1,0,0,0,2,1,3
Disorders of lipoprotein metabolism and other lipidaemias,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,341,360,701,312,347,659,338,311,649,354,364,718,310,366,676,319,344,663,325,321,646,354,332,686,330,356,686,282,351,633
Disorders of purine and pyrimidine metabolism,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,1,0,1
Disorders of porphyrin and bilirubin metabolism,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,2,2
Disorders of mineral metabolism,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,20,17,37,28,22,50,22,9,31,18,14,32,22,16,38,19,21,40,18,19,37,24,22,46,20,28,48,33,26,59
Cystic fibrosis,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,12,11,23,13,16,29,13,16,29,9,17,26,12,20,32,22,12,34,13,12,25,5,12,17,18,14,32,17,14,31
Amyloidosis,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,67,32,99,71,35,106,58,53,111,75,49,124,76,49,125,79,50,129,102,58,160,104,59,163,98,58,156,111,78,189
Volume depletion,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,60,134,194,64,114,178,54,123,177,53,137,190,69,155,224,32,74,106,48,81,129,31,76,107,47,91,138,35,71,106
"Other disorders of fluid, electrolyte and acid-base balance","CHAPTER IV Endocrine, nutritional and metabolic diseases",,33,54,87,32,52,84,71,87,158,45,75,120,67,88,155,77,101,178,72,93,165,78,109,187,69,96,165,108,116,224
Other metabolic disorders,"CHAPTER IV Endocrine, nutritional and metabolic diseases",,39,27,66,25,30,55,29,18,47,20,27,47,19,18,37,24,30,54,18,23,41,25,27,52,23,28,51,25,24,49
"Postprocedural endocrine and metabolic disorders, not elsewhere classified","CHAPTER IV Endocrine, nutritional and metabolic diseases",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Organic, including symptomatic, mental disorders",CHAPTER V Mental and behavioural disorders,,"1,982","3,815","5,797","2,052","3,912","5,964","2,156","4,277","6,433","2,418","4,631","7,049","2,599","4,953","7,552","2,709","5,082","7,791","3,009","5,586","8,595","3,282","5,830","9,112","3,490","5,962","9,452","3,508","6,132","9,640"
Vascular dementia,CHAPTER V Mental and behavioural disorders,,404,620,"1,024",418,632,"1,050",431,701,"1,132",456,761,"1,217",529,827,"1,356",416,577,993,501,678,"1,179",532,695,"1,227",589,697,"1,286",614,760,"1,374"
Unspecified dementia,CHAPTER V Mental and behavioural disorders,,"1,512","3,152","4,664","1,559","3,230","4,789","1,648","3,517","5,165","1,873","3,787","5,660","1,958","4,007","5,965","2,196","4,415","6,611","2,370","4,783","7,153","2,594","4,976","7,570","2,744","5,105","7,849","2,805","5,271","8,076"
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delirium, not induced by alcohol and other psychoactive substances",CHAPTER V Mental and behavioural disorders,,50,27,77,50,39,89,64,50,114,70,65,135,88,98,186,97,88,185,136,121,257,155,152,307,155,158,313,88,98,186
Other mental disorders due to brain damage and dysfunction and to physical disease,CHAPTER V Mental and behavioural disorders,,3,1,4,1,2,3,4,1,5,1,1,2,1,2,3,0,2,2,2,4,6,1,5,6,2,2,4,1,2,3
"Personality and behavioural disorders due to brain disease, damage and dysfunction",CHAPTER V Mental and behavioural disorders,,13,15,28,24,9,33,9,8,17,18,16,34,23,19,42,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Unspecified organic or symptomatic mental disorder,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Mental and behavioural disorders due to psychoactive substance use,CHAPTER V Mental and behavioural disorders,,311,113,424,274,87,361,277,121,398,285,111,396,261,116,377,188,58,246,205,55,260,256,72,328,247,69,316,237,79,316
Mental and behavioural disorders due to use of alcohol,CHAPTER V Mental and behavioural disorders,,230,61,291,204,53,257,202,79,281,198,69,267,175,58,233,172,46,218,183,47,230,227,58,285,214,55,269,217,69,286
Mental and behavioural disorders due to use of opioids,CHAPTER V Mental and behavioural disorders,,6,3,9,9,1,10,15,4,19,24,5,29,29,11,40,2,1,3,1,3,4,6,2,8,5,3,8,3,2,5
Mental and behavioural disorders due to use of cannabinoids,CHAPTER V Mental and behavioural disorders,,0,0,0,1,0,1,1,0,1,3,1,4,0,0,0,0,1,1,1,0,1,2,0,2,1,0,1,0,0,0
Mental and behavioural disorders due to use of sedatives or hypnotics,CHAPTER V Mental and behavioural disorders,,1,0,1,0,0,0,2,0,2,2,0,2,2,4,6,0,2,2,0,0,0,1,2,3,3,2,5,0,0,0
Mental and behavioural disorders due to use of cocaine,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mental and behavioural disorders due to use of other stimulants, including caffeine",CHAPTER V Mental and behavioural disorders,,1,0,1,1,0,1,2,0,2,1,1,2,2,1,3,1,1,2,4,0,4,6,0,6,5,1,6,7,3,10
Mental and behavioural disorders due to use of hallucinogens,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental and behavioural disorders due to use of tobacco,CHAPTER V Mental and behavioural disorders,,63,41,104,40,30,70,40,23,63,37,27,64,31,24,55,2,0,2,0,1,1,0,0,0,0,0,0,0,1,1
Mental and behavioural disorders due to use of volatile solvents,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,3,1,4,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,CHAPTER V Mental and behavioural disorders,,10,8,18,19,3,22,12,14,26,20,8,28,22,17,39,11,7,18,15,4,19,13,10,23,19,8,27,10,4,14
"Schizophrenia, schizotypal and delusional disorders",CHAPTER V Mental and behavioural disorders,,23,32,55,30,51,81,31,39,70,29,46,75,28,48,76,13,35,48,16,27,43,16,26,42,23,30,53,27,34,61
Schizophrenia,CHAPTER V Mental and behavioural disorders,,23,29,52,29,45,74,28,32,60,26,42,68,22,47,69,12,31,43,13,23,36,14,23,37,19,25,44,25,27,52
Schizotypal disorder,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persistent delusional disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,2,2,0,1,1,3,0,3,1,0,1,0,2,2,0,1,1,0,1,1,0,1,1
Acute and transient psychotic disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Induced delusional disorder,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schizoaffective disorders,CHAPTER V Mental and behavioural disorders,,0,1,1,1,3,4,3,2,5,3,1,4,1,0,1,0,2,2,0,1,1,2,2,4,2,3,5,1,5,6
Other nonorganic psychotic disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified nonorganic psychosis,CHAPTER V Mental and behavioural disorders,,0,2,2,0,2,2,0,1,1,0,2,2,2,1,3,0,2,2,2,1,3,0,0,0,2,1,3,1,1,2
Mood [affective] disorders,CHAPTER V Mental and behavioural disorders,,19,37,56,26,46,72,32,52,84,24,49,73,17,49,66,29,40,69,24,47,71,32,50,82,25,50,75,19,66,85
Manic episode,CHAPTER V Mental and behavioural disorders,,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bipolar affective disorder,CHAPTER V Mental and behavioural disorders,,3,5,8,6,7,13,6,3,9,2,6,8,2,2,4,3,2,5,6,9,15,6,5,11,5,5,10,2,9,11
Depressive episode,CHAPTER V Mental and behavioural disorders,,16,30,46,19,37,56,25,48,73,20,43,63,14,46,60,26,38,64,17,36,53,26,43,69,19,44,63,17,55,72
Recurrent depressive disorder,CHAPTER V Mental and behavioural disorders,,0,1,1,0,1,1,1,1,2,1,0,1,1,1,2,0,0,0,0,1,1,0,0,0,1,1,2,0,1,1
Persistent mood [affective] disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Other mood [affective] disorders,CHAPTER V Mental and behavioural disorders,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified mood [affective] disorder,CHAPTER V Mental and behavioural disorders,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,1,1
"Neurotic, stress-related and somatoform disorders",CHAPTER V Mental and behavioural disorders,,7,4,11,4,4,8,3,3,6,4,3,7,3,8,11,3,9,12,2,5,7,3,5,8,2,4,6,4,6,10
Phobic anxiety disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other anxiety disorders,CHAPTER V Mental and behavioural disorders,,3,3,6,2,4,6,1,0,1,1,1,2,1,5,6,3,5,8,1,4,5,2,5,7,0,4,4,1,5,6
Obsessive-compulsive disorder,CHAPTER V Mental and behavioural disorders,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reaction to severe stress, and adjustment disorders",CHAPTER V Mental and behavioural disorders,,1,1,2,2,0,2,2,1,3,2,0,2,2,1,3,0,3,3,1,1,2,0,0,0,2,0,2,3,1,4
Dissociative [conversion] disorders,CHAPTER V Mental and behavioural disorders,,2,0,2,0,0,0,0,2,2,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somatoform disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other neurotic disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Behavioural syndromes associated with physiological disturbances and physical factors,CHAPTER V Mental and behavioural disorders,,1,10,11,2,17,19,1,13,14,3,12,15,0,9,9,1,9,10,3,5,8,1,11,12,0,13,13,3,12,15
Eating disorders,CHAPTER V Mental and behavioural disorders,,0,9,9,0,17,17,1,13,14,3,8,11,0,9,9,1,9,10,3,3,6,1,10,11,0,13,13,1,12,13
Nonorganic sleep disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sexual dysfunction, not caused by organic disorder or disease",CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychological and behavioural factors associated with disorders or diseases classified elsewhere,CHAPTER V Mental and behavioural disorders,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Abuse of non-dependence-producing substances,CHAPTER V Mental and behavioural disorders,,1,1,2,1,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2
Unspecified behavioural syndromes associated with physiological disturbances and physical factors,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders of adult personality and behaviour,CHAPTER V Mental and behavioural disorders,,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Specific personality disorders,CHAPTER V Mental and behavioural disorders,,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Mixed and other personality disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enduring personality changes, not attributable to brain damage and disease",CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habit and impulse disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender identity disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders of sexual preference,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychological and behavioural disorders associated with sexual development and orientation,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of adult personality and behaviour,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified disorder of adult personality and behaviour,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental retardation,CHAPTER V Mental and behavioural disorders,,11,6,17,5,5,10,5,11,16,9,6,15,7,5,12,5,5,10,10,8,18,10,7,17,7,3,10,8,14,22
Mild mental retardation,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moderate mental retardation,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Severe mental retardation,CHAPTER V Mental and behavioural disorders,,1,0,1,0,1,1,2,1,3,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Profound mental retardation,CHAPTER V Mental and behavioural disorders,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other mental retardation,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified mental retardation,CHAPTER V Mental and behavioural disorders,,9,6,15,5,4,9,2,10,12,9,6,15,7,5,12,4,5,9,10,7,17,10,7,17,7,3,10,8,14,22
Disorders of psychological development,CHAPTER V Mental and behavioural disorders,,1,3,4,2,0,2,0,7,7,0,7,7,0,9,9,0,1,1,2,2,4,3,2,5,0,6,6,1,7,8
Specific developmental disorders of speech and language,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Specific developmental disorders of scholastic skills,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Specific developmental disorder of motor function,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
Mixed specific developmental disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pervasive developmental disorders,CHAPTER V Mental and behavioural disorders,,1,2,3,0,0,0,0,7,7,0,4,4,0,6,6,0,1,1,2,2,4,2,2,4,0,6,6,0,4,4
Other disorders of psychological development,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified disorder of psychological development,CHAPTER V Mental and behavioural disorders,,0,1,1,2,0,2,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,CHAPTER V Mental and behavioural disorders,,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hyperkinetic disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixed disorders of conduct and emotions,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emotional disorders with onset specific to childhood,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders of social functioning with onset specific to childhood and adolescence,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tic disorders,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,CHAPTER V Mental and behavioural disorders,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified mental disorder,CHAPTER V Mental and behavioural disorders,,0,1,1,0,0,0,4,2,6,1,2,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Mental disorder, not otherwise specified",CHAPTER V Mental and behavioural disorders,,0,1,1,0,0,0,4,2,6,1,2,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Inflammatory diseases of the central nervous system,CHAPTER VI Diseases of the nervous system,,34,20,54,37,24,61,47,33,80,42,33,75,41,47,88,37,34,71,50,32,82,45,46,91,33,33,66,51,46,97
"Bacterial meningitis, not elsewhere classified",CHAPTER VI Diseases of the nervous system,,10,5,15,12,8,20,10,6,16,6,5,11,8,11,19,3,7,10,4,7,11,6,10,16,3,9,12,8,6,14
Meningitis due to other and unspecified causes,CHAPTER VI Diseases of the nervous system,,4,2,6,5,2,7,8,6,14,6,6,12,6,7,13,5,5,10,4,6,10,8,3,11,7,0,7,2,2,4
"Encephalitis, myelitis and encephalomyelitis",CHAPTER VI Diseases of the nervous system,,8,6,14,11,7,18,15,14,29,14,11,25,7,19,26,14,14,28,17,10,27,15,12,27,13,16,29,21,26,47
Intracranial and intraspinal abscess and granuloma,CHAPTER VI Diseases of the nervous system,,5,4,9,7,7,14,13,1,14,10,10,20,15,4,19,11,4,15,16,7,23,13,14,27,6,7,13,17,7,24
Intracranial and intraspinal phlebitis and thrombophlebitis,CHAPTER VI Diseases of the nervous system,,2,3,5,1,0,1,1,0,1,1,0,1,0,0,0,1,1,2,2,0,2,0,0,0,1,0,1,1,3,4
Sequelae of inflammatory diseases of central nervous system,CHAPTER VI Diseases of the nervous system,,5,0,5,1,0,1,0,6,6,5,1,6,5,6,11,3,3,6,7,2,9,3,7,10,3,1,4,2,2,4
Systemic atrophies primarily affecting the central nervous system,CHAPTER VI Diseases of the nervous system,,392,331,723,426,292,718,426,335,761,447,359,806,446,345,791,445,379,824,411,326,737,441,371,812,464,400,864,425,374,799
Huntington disease,CHAPTER VI Diseases of the nervous system,,35,44,79,40,34,74,42,34,76,40,43,83,35,34,69,39,43,82,46,39,85,31,48,79,42,52,94,49,56,105
Hereditary ataxia,CHAPTER VI Diseases of the nervous system,,7,7,14,11,13,24,7,12,19,12,18,30,14,13,27,10,6,16,12,18,30,10,11,21,17,12,29,13,11,24
Spinal muscular atrophy and related syndromes,CHAPTER VI Diseases of the nervous system,,350,280,630,375,245,620,377,289,666,395,298,693,397,298,695,394,328,722,351,268,619,398,306,704,401,330,731,359,303,662
Postpolio syndrome,CHAPTER VI Diseases of the nervous system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,1,3,2,6,8,4,6,10,4,4,8
Extrapyramidal and movement disorders,CHAPTER VI Diseases of the nervous system,,773,554,"1,327",699,535,"1,234",780,501,"1,281",819,549,"1,368",811,621,"1,432",919,649,"1,568","1,095",727,"1,822","1,189",715,"1,904","1,213",739,"1,952","1,269",775,"2,044"
Parkinson disease,CHAPTER VI Diseases of the nervous system,,752,531,"1,283",684,510,"1,194",758,473,"1,231",801,533,"1,334",788,604,"1,392",897,627,"1,524","1,001",641,"1,642","1,069",643,"1,712","1,102",660,"1,762","1,142",689,"1,831"
Secondary parkinsonism,CHAPTER VI Diseases of the nervous system,,5,3,8,8,4,12,5,4,9,5,5,10,11,4,15,12,8,20,14,6,20,15,6,21,14,7,21,9,8,17
Other degenerative diseases of basal ganglia,CHAPTER VI Diseases of the nervous system,,9,17,26,5,16,21,11,14,25,10,8,18,10,9,19,6,11,17,75,75,150,98,64,162,93,66,159,115,75,190
Dystonia,CHAPTER VI Diseases of the nervous system,,2,3,5,0,3,3,2,5,7,2,1,3,0,2,2,1,0,1,1,1,2,3,1,4,1,4,5,2,1,3
Other extrapyramidal and movement disorders,CHAPTER VI Diseases of the nervous system,,5,0,5,2,2,4,4,5,9,1,2,3,2,2,4,3,3,6,4,4,8,4,1,5,3,2,5,1,2,3
